date ,p_value,t_peak, m_slope,t_slope,pts_f,mean_f,var_f,pts_d,mean_d,var_d ,,
10-Apr-09,26.7,1:35,16.8,23:40,61,0.6,12.8,250,9,77.9
11-Apr-09,24,1:50,16.3,0:05,67,6,34.2,274,6.9,29.7
12-Apr-09,4.8,2:40,1,2:10,19,6.6,92.4,146,11.1,106.4
13-Apr-09,16.8,2:15,12.3,23:40,14,-1.3,22.6,158,-498.3,1380798.5
14-Apr-09,22.7,1:55,15,1:35,26,-1.4,13.7,216,5.7,35.5
15-Apr-09,27.5,1:10,27,1:00,66,0.5,17.1,270,-13.8,76118.2
16-Apr-09,19.5,1:10,13.2,23:20,40,1,23.4,247,11.3,56
17-Apr-09,26,2:40,17.3,2:00,35,-1.1,10.4,212,12.8,71.5
18-Apr-09,11.5,2:10,11.5,2:10,25,1.2,10.1,191,5.8,47.8
19-Apr-09,25.5,1:05,25.5,1:05,84,1.3,14.3,237,10.6,112.7
20-Apr-09,14.3,2:15,12,0:00,29,-3.4,2.1,193,2.3,25.5
21-Apr-09,29.8,0:25,29.8,0:25,74,4.3,30.3,275,12.1,88.7
22-Apr-09,29.7,1:30,28.3,1:20,77,4.4,29.1,277,11,84
23-Apr-09,39.7,0:55,28.7,0:45,47,1.3,17.1,212,14.5,87
24-Apr-09,29.8,2:45,18.2,1:00,44,8.3,89.7,238,15.5,90.2
25-Apr-09,21.8,1:10,9.7,2:00,10,13.7,138.4,199,12.6,73.1
26-Apr-09,15.8,2:45,15.8,2:45,49,1.3,26.3,228,9,40.7
27-Apr-09,13.2,2:10,10.2,0:45,18,-1.9,11.4,207,-140.4,477574.7
28-Apr-09,19.5,0:55,5.3,2:00,28,7.1,77.1,208,9.6,40.8
29-Apr-09,28.8,0:20,23.3,0:15,12,3.1,64.7,213,10.6,47.8
30-Apr-09,27.7,3:00,25.3,0:45,32,2.7,57.1,227,16.6,126.1
1-May-09,27,0:55,27,0:55,40,-0.7,22.3,242,11.3,96.8
2-May-09,30.7,0:50,27.8,0:45,47,0.4,9,243,11.6,82.4
3-May-09,18.5,2:55,6,2:00,58,5.3,48.9,243,11.8,82
4-May-09,40.8,0:35,40.8,0:35,78,1.7,16.8,255,10.6,76.3
5-May-09,30.2,1:00,18.8,1:40,43,-0.6,26.1,231,11.7,95.3
6-May-09,29.7,0:50,26.7,0:40,48,1.7,25.1,247,11.7,87
7-May-09,31.3,0:55,10.5,2:00,72,2.3,21.9,240,10.2,61.4
8-May-09,30.3,1:05,22.5,0:55,52,-0.8,8.3,251,9.6,77.1
9-May-09,26.2,0:50,18.8,0:45,61,1.2,16.8,248,8.3,54.4
10-May-09,21.3,1:15,13.7,0:50,40,-0.7,9.9,215,9.1,70.6
11-May-09,34.3,0:40,5.5,2:15,34,2.7,96.4,232,10.7,85.3
12-May-09,30.5,0:40,30.5,0:40,59,2.4,24.3,236,9.2,53.8
13-May-09,21.3,2:25,8.8,2:10,50,0,13.6,228,9.3,66.6
14-May-09,15.2,2:40,5,0:55,49,0.4,12.7,207,9.3,65.7
15-May-09,16.2,3:00,9,2:05,59,3.3,19.8,221,7,36
16-May-09,14.8,2:20,5,23:40,31,0.1,16.9,185,13.9,214
17-May-09,26.5,0:40,24.7,0:35,51,3.3,50.9,228,7,57.8
18-May-09,23,1:25,13.3,2:00,73,-1.5,19.1,249,-8.4,41293.5
19-May-09,-3200,23:00,-3200,23:05,60,-905.9,2115944.7,288,-2488.8,1776417.9
20-May-09,25.8,1:00,25.8,1:00,76,0.8,11.6,257,2.8,26.4
21-May-09,15.8,1:05,8,23:40,53,-2.2,6.5,209,3.5,41.1
22-May-09,22.7,0:55,11,1:55,16,3.2,70.6,198,9.1,50.1
23-May-09,15.8,0:55,6,0:40,58,1.8,28.4,244,7.8,43
24-May-09,20.7,2:40,18.2,0:25,57,7.2,112.2,258,10.5,68
25-May-09,28.8,0:45,28.8,0:45,79,8.9,111.8,286,11,70.5
26-May-09,26.2,1:10,20.2,0:55,77,3.2,16.6,274,16.9,198.8
27-May-09,17.8,1:05,17.8,1:05,47,-2.1,4.2,242,8.3,74.5
28-May-09,65.7,23:30,57.5,23:20,49,1.6,79.3,268,12.6,180.5
29-May-09,16.2,1:25,16.2,1:25,50,-2,5.9,229,7.7,90.9
30-May-09,30.3,1:30,30.3,1:30,86,5.8,53.3,265,8,52.6
31-May-09,12.5,2:20,10.2,1:20,50,-0.9,8.1,233,3.5,31.8
1-Jun-09,22.5,1:15,21.2,0:40,76,3.8,15.2,243,3.4,29
2-Jun-09,30,1:30,22.3,1:15,81,3,14.6,249,3.9,31
3-Jun-09,49.2,3:00,38.7,2:50,101,5.8,22.4,260,-12.9,79158
4-Jun-09,31.7,1:25,24.3,1:05,85,5.1,33.5,253,10.9,64
5-Jun-09,22.7,1:40,22.7,1:40,90,5.4,23.1,269,9.4,45.7
6-Jun-09,18.5,2:50,8.7,1:50,85,4.8,14.2,270,6.1,20.2
7-Jun-09,12.5,2:35,5.7,2:20,90,6.1,18.4,248,5.7,27.2
8-Jun-09,15.8,1:30,15.8,1:30,83,6.4,11.2,269,-687.2,1742081.7
9-Jun-09,20.3,1:40,12.7,1:35,59,0.4,17.4,250,3.1,26.2
10-Jun-09,17,1:15,15,1:50,87,7.1,9.8,227,5.6,27.7
11-Jun-09,23.3,1:40,23.3,1:40,82,4,24,257,6.7,54.2
12-Jun-09,19.3,3:00,4.5,23:20,64,1.7,17.9,263,5.2,44.5
13-Jun-09,21.2,1:55,20.3,1:45,80,7.2,19.4,248,7.3,40.1
14-Jun-09,16.5,2:00,11.2,2:25,77,7,16.1,260,8,48.1
15-Jun-09,11.8,2:00,-0.8,23:05,55,6.8,21.4,190,6.7,27.7
16-Jun-09,13,2:55,8.5,0:10,54,4.8,28.4,235,6.9,36.7
17-Jun-09,15,3:00,8.5,23:40,68,6.5,18,276,5,44
18-Jun-09,18.3,1:25,5.8,0:10,74,4.7,22.2,253,3.9,31.3
19-Jun-09,13.8,3:00,7.8,0:30,73,5.9,17.5,255,4.6,29.3
20-Jun-09,27.3,0:55,27.3,0:55,78,6.2,22,254,5.1,32.5
21-Jun-09,18.8,0:45,18.8,0:45,66,5.9,22.4,255,6.5,44.9
22-Jun-09,22.7,1:40,12.2,0:50,72,3.8,17.5,267,7.5,51.7
23-Jun-09,26.3,1:35,6.2,23:50,67,5.6,29,268,8.2,36.3
24-Jun-09,21.2,1:20,17.2,0:40,80,4.3,22.4,286,9.7,28.5
25-Jun-09,28.3,1:10,24.7,0:50,82,7.6,11.2,288,12.8,27.5
26-Jun-09,16.3,1:55,9.2,1:20,88,6.4,43.2,286,11.3,37.8
27-Jun-09,22.3,1:55,21.7,1:25,88,7.3,39.5,287,0,35961.2
28-Jun-09,20.5,1:20,10.8,0:05,72,5.1,9.1,282,10.1,35
29-Jun-09,17.5,2:40,13.8,2:00,91,6,17.8,283,9.5,25.2
30-Jun-09,22.8,1:00,16.7,0:50,82,5,17.6,281,8.8,32.7
1-Jul-09,29.8,1:40,29.8,1:40,92,10.4,22.9,253,9.1,19.8
2-Jul-09,32.2,0:40,23.7,23:50,70,9.2,15.1,287,9.3,29.4
3-Jul-09,36.7,0:05,18.8,1:30,68,8.8,29.6,272,9.4,36.4
4-Jul-09,21.5,1:20,19.8,0:40,77,3.9,15.8,285,8.4,27.9
5-Jul-09,21.7,1:05,10.3,0:45,80,4,20.2,283,8.8,40.1
6-Jul-09,16.2,3:00,11.7,1:25,87,5,18.1,278,7,25.4
7-Jul-09,33.3,23:00,6.8,2:25,60,15.5,147.7,287,12.1,54.2
8-Jul-09,34.7,23:35,15.8,0:40,67,6.3,28.1,283,9.8,47.6
9-Jul-09,28.5,0:55,4.2,23:30,66,4.9,12.4,246,11.3,49.5
10-Jul-09,27.3,1:20,9.7,23:25,65,4.6,9.2,271,7.4,44
11-Jul-09,26.7,1:20,25.5,0:50,80,1.9,12.4,252,5.6,44.2
12-Jul-09,24.8,0:50,17.7,0:20,62,2.6,14.7,230,7.2,34.5
13-Jul-09,25.5,0:50,9.8,2:30,70,2.8,18.6,228,8,35.2
14-Jul-09,29.3,1:15,20,0:35,55,2.3,11.2,237,9.3,37.4
15-Jul-09,27.8,0:50,27.8,0:50,73,3.9,21.7,260,8.3,44.7
16-Jul-09,19.3,0:45,19.3,0:45,66,1.2,14.4,243,4.5,31.5
17-Jul-09,23.5,1:00,18.3,0:50,81,2.6,12.2,281,7.5,33
18-Jul-09,28.8,23:45,3.2,2:25,69,13.4,197.6,285,11.7,78.7
19-Jul-09,27,1:20,20.7,1:15,87,13.9,68.2,275,11.9,44.1
20-Jul-09,27.8,0:15,25.8,0:05,70,2.5,10.2,272,7.4,41
21-Jul-09,21.7,0:45,18.5,0:10,74,11.7,50.1,277,8.9,33.2
22-Jul-09,24.2,1:00,20.2,0:55,79,5.8,14.7,279,7.3,21.6
23-Jul-09,19.3,0:10,19.3,0:10,74,10,7.2,263,-2,39201.1
24-Jul-09,14,3:00,8.7,1:40,34,5.7,14.1,221,7.4,42.8
25-Jul-09,21.8,1:05,19.3,1:00,83,5.8,20.1,276,5.4,35.6
26-Jul-09,14.8,1:05,14.2,1:00,84,5.4,13.3,265,5.3,19.1
27-Jul-09,33.3,0:40,5.7,23:30,66,4,20.7,218,4.3,33.8
28-Jul-09,12.8,1:00,1.2,3:00,-99,-99.9,-99.9,156,6.9,70.1
29-Jul-09,10.8,2:30,4.5,0:55,80,1.7,17.6,241,4.5,27.7
30-Jul-09,13.3,0:50,13.3,0:50,69,-1.7,5.5,236,-633.8,1644678.7
31-Jul-09,26.3,0:00,25.3,23:55,71,-1843.3,2551482.6,260,-497.4,1372746.4
1-Aug-09,17.3,0:05,8.7,2:25,64,16.4,150.5,254,7.9,100.8
2-Aug-09,17,2:55,5,23:55,69,4.6,13.2,257,7.8,37
3-Aug-09,17.8,23:25,17.8,23:25,65,5.8,18.4,272,8.2,36.2
4-Aug-09,21.8,1:25,7,2:30,75,5.2,28.1,253,5.5,28.8
5-Aug-09,11.8,1:20,11.8,1:20,81,2.6,7.6,273,7.6,20.8
6-Aug-09,23.8,0:35,17.8,0:25,77,1.7,5.2,278,7.7,31.4
7-Aug-09,22.2,1:10,11,23:40,68,3,9.6,270,6.5,31.1
8-Aug-09,18.7,1:00,13,0:30,74,1,9.5,251,5.9,27.1
9-Aug-09,12.5,1:10,10,23:30,59,-0.8,5.9,230,2.5,31.9
10-Aug-09,9.3,1:30,9.3,1:30,60,1.9,21.1,165,4.7,60.4
11-Aug-09,11.2,0:30,11.2,0:30,51,-0.5,6.3,214,3.8,29.6
12-Aug-09,12.5,3:00,6.7,23:30,61,1.5,12.4,257,9,37.1
13-Aug-09,19.3,2:45,10.7,1:40,81,3,22.9,261,6.8,44.9
14-Aug-09,28.8,1:20,23.7,0:50,70,4.7,12.1,271,7.1,26.6
15-Aug-09,6,23:55,6,23:55,71,2.4,5.1,226,3.1,23.7
16-Aug-09,10.7,23:35,5.2,2:55,67,7.6,2.7,237,3.6,23.3
17-Aug-09,11.3,0:05,10.7,23:20,64,9.1,4.1,261,6,22.8
18-Aug-09,4.8,23:25,3,0:05,63,2.5,6.6,217,2.7,19.6
19-Aug-09,19,0:45,8.3,2:30,69,0.4,9.7,244,2,28
20-Aug-09,2.8,2:55,0,2:35,51,-1.2,12.5,201,-14.2,51019.2
21-Aug-09,9.7,23:00,5.5,2:45,54,0.8,9.3,246,4.6,28.3
22-Aug-09,11.8,3:00,2.3,23:45,68,1.7,5.2,246,7.4,47.4
23-Aug-09,16.2,2:20,7,23:45,69,7.2,3.9,273,8.4,19.4
24-Aug-09,12.8,23:05,4,0:00,61,7.2,4.4,261,5.1,14.3
25-Aug-09,11.3,23:10,7.2,2:15,37,6.4,6.8,225,3.1,19.1
26-Aug-09,5.8,2:50,2.7,23:10,62,4,6.7,260,4.1,11.1
27-Aug-09,13.2,2:10,8.8,2:00,79,4.6,12,267,5.3,21.6
28-Aug-09,20.2,2:05,20.2,2:05,34,10.9,6.7,199,11.6,51.3
29-Aug-09,26.5,23:20,10.8,1:50,64,21.7,110.4,286,19.3,48.5
30-Aug-09,30,2:15,27,2:10,98,9.1,15.8,288,11.8,38
31-Aug-09,23.3,2:25,14,1:00,83,9.6,7.8,287,9.5,37.1
1-Sep-09,17.7,0:05,10.8,23:55,68,2.1,6.5,283,6.8,22.2
2-Sep-09,24.5,23:55,4.3,1:50,64,1.1,26.1,234,1.2,21.8
3-Sep-09,18.8,0:30,18.8,0:30,77,1.4,17.9,214,0.7,21.5
4-Sep-09,3.5,1:00,0.3,2:00,56,0.3,9.5,202,0,13.7
5-Sep-09,46.8,23:30,46.8,23:30,58,4.1,37.6,250,11.6,132.2
6-Sep-09,42.8,0:55,33.5,0:45,54,8.5,108.2,259,9.3,73.8
7-Sep-09,14.8,1:55,8.5,1:45,66,7.5,144.4,261,7.6,57.5
8-Sep-09,15,2:00,3.8,23:05,57,1.8,12.2,239,3.3,31.2
9-Sep-09,47.3,2:30,20,2:15,47,2.6,40.1,167,11.3,225.1
10-Sep-09,26.3,2:55,6,0:40,66,11.3,194.1,270,19.2,175.6
11-Sep-09,16.8,1:50,12.8,23:15,39,7.8,113.2,251,11.5,61.4
12-Sep-09,44.7,23:40,33.2,23:35,67,8.9,42.1,287,13.5,91.6
13-Sep-09,35.2,23:00,20.3,23:30,59,6.8,45.5,285,9.9,54.8
14-Sep-09,22.2,2:35,12.3,1:35,87,3.3,32.1,277,8.9,50.5
15-Sep-09,26.5,1:25,24.5,1:10,86,6.5,12.5,288,13.2,59.7
16-Sep-09,22.3,3:00,19.3,1:30,89,7.5,25.4,286,12.9,45.2
17-Sep-09,24.8,1:55,16.2,1:10,84,6.1,15.1,283,0.3,36496.8
18-Sep-09,28.8,1:25,18.5,23:10,61,6.3,15.2,276,9.6,51.6
19-Sep-09,18.7,1:00,12.5,23:25,56,1.4,16.1,257,7.3,54.3
20-Sep-09,16,23:20,11.7,2:20,54,2.8,21.9,251,6.7,44.6
21-Sep-09,-3200,23:00,-3200,23:05,45,-213.1,651747.1,269,-2177.2,2234422.6
22-Sep-09,22,0:10,22,0:10,72,4.5,12.8,273,9.1,112.3
23-Sep-09,21.2,0:10,20.2,1:00,67,5.3,28.4,281,19.3,103.1
24-Sep-09,26.2,0:55,21.7,0:45,80,13.2,114.9,271,12.4,70.6
25-Sep-09,21,0:15,21,0:15,71,9,76.3,282,11.2,30.5
26-Sep-09,18.5,1:40,15.3,1:20,84,4.8,19.4,284,7.9,28.2
27-Sep-09,13.5,3:00,8.2,1:20,81,5.6,17.7,281,6.6,20.8
28-Sep-09,11.2,3:00,2.2,1:20,83,-0.7,5.2,282,3.8,19.6
29-Sep-09,14,1:55,4.2,23:10,59,-106.6,341562,261,-16.9,78583.6
30-Sep-09,16.2,1:15,15.7,23:05,61,-43.2,168865.8,268,-3.6,38444.5
1-Oct-09,19.3,1:10,7.8,0:20,75,5.4,2.2,276,5.3,21.2
2-Oct-09,19.2,23:15,16,1:15,63,17.4,12.6,288,15.6,21.8
3-Oct-09,22.8,1:00,15,0:45,81,8.5,10.8,231,9.2,40.7
4-Oct-09,19.7,2:20,19.7,2:20,70,6.4,55.6,230,3.1,52.9
5-Oct-09,19.5,1:05,13.2,0:50,80,8.8,13,280,8.3,46.3
6-Oct-09,30,1:05,24.8,0:50,63,-1.5,11.3,237,4.5,59.1
7-Oct-09,25,1:05,11.3,0:15,56,-1.3,8.9,261,7.2,70.9
8-Oct-09,19.7,1:25,17.5,1:10,58,0.3,13.4,217,2.9,36
9-Oct-09,18.2,1:10,11.5,1:00,50,-0.1,16.7,254,11.9,133.7
10-Oct-09,25.2,1:50,21.2,0:50,82,13.1,30.6,288,14.5,50.7
11-Oct-09,16.3,2:10,13.5,1:10,72,4.5,10.3,225,9.5,69.6
12-Oct-09,8.2,23:45,8,0:00,27,3.7,23.5,116,0.9,45.3
13-Oct-09,9.5,23:50,-1.5,0:50,-99,-99.9,-99.9,177,3.8,42
14-Oct-09,20.3,0:45,19.2,0:35,34,-3.3,27.5,243,8.7,56
15-Oct-09,20.3,0:40,17.8,0:35,72,7.8,17.3,280,11.2,22.5
16-Oct-09,36.2,0:30,17.7,0:15,75,14.4,19.5,281,17.6,39
